time,open,high,low,close,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
-757389600,35,35,35,35,29.66394435480231,84.74892452019769,77.59158292038452,NaN,NaN,NaN,NaN,NaN,NaN,44.94634244983055
-741754800,35,35,35,35,29.873201438927712,84.74892452019769,77.46751130184334,NaN,NaN,NaN,NaN,NaN,NaN,52.60534080270294
-725853600,35,35,35,35,30.074252362891333,84.74892452019769,78.19565262367878,NaN,NaN,NaN,NaN,NaN,NaN,58.732539485000835
-710218800,35,35,35,35,30.267418936895595,84.74892452019769,78.92379394551422,NaN,NaN,NaN,NaN,NaN,NaN,63.63429843083915
-694317600,35,35,35,35,30.453010351134985,84.74892452019769,79.65193526734966,NaN,NaN,NaN,NaN,NaN,NaN,67.55570558750982
-678596400,35,35,35,35,30.63132367069832,84.74892452019769,80.3800765891851,NaN,NaN,NaN,NaN,84.74892452019769,NaN,70.69283131284635
-662522400,31.88,31.88,31.88,31.88,30.680291369886618,19.209476258453435,76.42682874946736,NaN,NaN,NaN,NaN,NaN,NaN,74.45837533374248
-647060400,31.88,31.88,31.88,31.88,30.727338767145966,19.209476258453435,72.47358090974964,NaN,NaN,19.209476258453435,NaN,NaN,NaN,77.4708105504594
-631072800,34.73,34.73,34.73,34.73,30.884305874316713,57.34519134692448,71.24431271920842,NaN,NaN,NaN,NaN,NaN,NaN,65.81738479416082
-615351600,34.73,34.73,34.72,34.72,31.034725251794487,57.23853967248791,70.00742655192172,NaN,NaN,NaN,NaN,NaN,NaN,56.43480806066879
-599623200,34.72,34.73,34.72,34.73,31.179637987018232,57.32782251309199,68.77691773039246,NaN,NaN,NaN,NaN,NaN,NaN,48.92874667387518
-583902000,34.72,34.73,34.66,34.66,31.316122771841048,56.40046179988945,67.48016885792016,NaN,NaN,NaN,NaN,NaN,NaN,42.37720525000978
-568087200,34.49,34.82,34.49,34.53,31.442157172945322,54.556599950676514,65.32357424581151,NaN,NaN,NaN,NaN,NaN,NaN,35.38670353892305
-552366000,34.57,34.79,34.51,34.79,31.573445126947465,57.67027765251465,63.38938518383416,NaN,NaN,NaN,NaN,NaN,NaN,29.794302170053676
-536464800,34.88,34.95,34.88,34.89,31.703506102361292,58.88909615508773,61.5422545863263,NaN,NaN,NaN,NaN,NaN,NaN,27.165995141360323
