time,open,high,low,close,EMA,EMA,EMA,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1716570300,2334.07,2334.565,2333.165,2333.29,2337.393049810559,2335.1538230413544,2336.6496447916784,39.085836973135,36.48545067214586,44.15107143944589,NaN,NaN,NaN,NaN,NaN,NaN
1716570600,2333.29,2334.56,2333.275,2333.965,2337.317708056481,2335.045748219413,2336.5443646037693,43.530564451221935,42.522932130854315,44.733800918163794,NaN,NaN,NaN,NaN,NaN,NaN
1716570900,2333.965,2334.6,2333.67,2334.14,2337.247868318976,2334.9634074721935,2336.4500757957785,46.2191033406319,44.05485451879404,45.39109528504196,NaN,NaN,NaN,NaN,NaN,NaN
1716571200,2334.14,2334.405,2333.29,2333.75,2337.1709920921853,2334.853097701994,2336.3441904704537,50.452204962774104,41.327360094814075,45.14774677817115,NaN,NaN,NaN,NaN,NaN,NaN
1716571500,2333.75,2334.125,2333.25,2333.535,2337.0910801780715,2334.7332706381762,2336.234026138279,54.03996404989305,39.81737028204823,44.20008523432216,NaN,NaN,NaN,NaN,NaN,NaN
1716571800,2333.535,2334.065,2332.745,2332.945,2336.999957536795,2334.57070058016,2336.105044721092,58.98045078468641,35.82613480760466,42.82750158308595,NaN,NaN,35.82613480760466,NaN,NaN,NaN
1716572100,2332.945,2334.29,2332.895,2334.1,2336.936222206316,2334.527909618327,2336.026415516343,57.41857046835144,47.3135252222228,42.68470508460335,NaN,NaN,NaN,NaN,NaN,NaN
1716572400,2334.1,2334.115,2332.485,2332.87,2336.8468546852982,2334.3771905621156,2335.902634515702,58.70817231434358,39.043724551487145,41.86858219334902,NaN,NaN,NaN,NaN,NaN,NaN
1716572700,2332.87,2333.75,2332.62,2333.425,2336.7716490878192,2334.2906277837415,2335.8054723778314,59.739853791137286,43.95497585477322,41.71720060232241,NaN,NaN,NaN,NaN,NaN,NaN
1716573000,2333.425,2333.535,2332.475,2332.475,2336.6772172397355,2334.1255707124924,2335.6748656179166,61.47304985818598,38.114455209067785,41.483554435475035,NaN,NaN,NaN,NaN,NaN,NaN
1716573300,2332.475,2332.845,2332.01,2332.775,2336.5914542234777,2334.002791556811,2335.561145397606,64.97592076214448,40.87120703668134,41.167399988333095,NaN,NaN,NaN,NaN,NaN,NaN
1716573600,2332.775,2335.225,2332.635,2334.905,2336.5543892954893,2334.084810506192,2335.535414205543,60.59034337272931,56.246858689265046,42.07373807549821,NaN,NaN,NaN,NaN,NaN,NaN
1716573900,2334.905,2335.725,2334.575,2335.725,2336.5361609593247,2334.2339186419927,2335.5428489425803,58.811595181095534,60.62642499961884,43.368952437551236,NaN,NaN,NaN,NaN,NaN,NaN
1716574200,2335.725,2335.845,2335.055,2335.39,2336.5109706085705,2334.339016947266,2335.5368548664005,57.809533196364505,57.991462877100105,44.58548121046267,NaN,NaN,NaN,NaN,NaN,NaN
1716574500,2335.39,2336.395,2335.39,2335.88,2336.497103122668,2334.4791063156963,2335.5503115383062,58.853656030710646,60.7629777964635,46.319590290771075,NaN,NaN,NaN,NaN,NaN,NaN
1716574800,2335.88,2336.285,2334.9,2334.9,2336.4620019551367,2334.5173693779057,2335.524809125039,53.755287501240126,52.99353241090901,47.067490310774986,NaN,NaN,NaN,NaN,NaN,NaN
1716575100,2334.9,2335.5,2334.615,2335.315,2336.4367931209576,2334.5898812526416,2335.516581316214,46.559991821769806,55.66109978646982,47.89650782989469,NaN,NaN,NaN,NaN,NaN,NaN
1716575400,2335.315,2336.1,2335.05,2335.88,2336.424555909508,2334.7071647751286,2335.5308330293037,44.671076828412914,59.16646001244944,49.17072925258293,NaN,NaN,NaN,NaN,NaN,NaN
1716575700,2335.88,2336.85,2335.78,2336.655,2336.4296206147933,2334.8842407046623,2335.574918008547,46.53961532601623,63.55749326460685,50.86645232276569,NaN,NaN,NaN,NaN,63.55749326460685,NaN
1716576000,2336.655,2336.76,2336.175,2336.36,2336.4280904913912,2335.018400640602,2335.605705537623,48.03444612409888,60.79260094176914,52.64977133234886,NaN,NaN,NaN,NaN,NaN,NaN
